temperature,humidity_in_percent,light_in_lux,hours_until_dry
15,48,19926,35.64
16,50,10796,36.0
19,92,9517,81.92
19,82,12643,51.66
23,59,1191,53.16
16,70,16032,54.94
15,92,4819,97.52
33,58,2833,17.38
24,77,126,70.22
25,73,7954,41.61
23,51,5777,34.68
25,42,13787,18.33
23,43,7676,32.16
22,95,9277,67.03
15,66,12439,47.52
34,68,9174,16.16
26,84,15658,35.28
19,56,13515,36.69
23,97,11481,47.49
34,95,597,29.93
18,90,15979,58.21
31,94,16475,26.4
22,66,1697,62.96
28,69,5043,35.44
35,96,6693,18.05
24,69,6744,48.58
27,40,10192,16.69
35,65,14592,9.85
16,79,16999,51.76
21,55,5220,44.73
20,67,14258,37.39
35,53,236,15.11
22,59,11194,33.13
19,86,9139,67.91
31,59,18133,17.36
29,58,18869,19.71
32,77,3835,26.61
20,83,12876,48.8
24,71,15858,31.69
23,100,11489,50.49
28,98,18419,35.63
31,73,18472,18.53
32,60,16493,13.54
22,97,11000,47.67
15,79,2848,78.21
17,51,5365,49.74
33,78,3919,23.37
19,64,11965,44.35
22,87,19884,48.86
27,87,8159,42.53
19,70,3419,59.98
19,52,6053,40.19
26,50,10015,22.26
18,73,7651,67.45
33,52,11635,11.58
29,100,8695,44.0
16,74,15431,47.95
15,93,9866,94.86
19,79,11148,52.26
15,97,19981,74.2
16,97,9013,100.57
33,71,12515,14.31
16,73,13407,48.36
21,57,12008,34.76
27,42,5322,23.37
27,50,5916,23.66
21,76,18722,44.62
22,69,14169,38.01
35,65,9445,13.0
15,87,17821,61.33
30,77,8100,32.96
15,94,6447,92.12
28,71,4428,34.42
17,98,16514,62.21
27,87,1571,52.03
27,90,4361,43.52
25,89,12896,40.85
24,56,6350,34.05
21,78,5087,60.47
35,60,2549,11.28
31,66,12636,19.6
32,91,9772,29.12
20,65,11338,37.44
34,90,10141,14.74
31,73,12277,21.29
25,56,12972,27.22
22,49,13997,24.34
22,97,2813,74.73
24,45,7641,26.5
28,50,1327,29.1
30,75,5391,27.6
35,74,18900,10.99
18,87,8031,70.44
18,48,15721,31.68
29,70,14565,23.79
32,42,17055,9.68
25,99,8726,57.62
19,54,10414,36.06
33,87,5816,24.12
28,59,366,39.08
19,73,15669,42.77
16,52,3221,54.91
16,47,13706,32.49
18,64,379,82.79
25,42,5072,25.7
34,88,406,31.05
21,50,11070,26.79
18,87,13171,56.85
26,84,9097,45.63
26,70,1694,46.55
32,69,9374,22.96
17,74,4925,64.0
18,89,867,91.05
25,49,2277,36.02
25,78,15538,37.56
32,84,3268,26.07
33,73,2442,25.55
21,55,6907,43.05
