temperature,humidity_in_percent,light_in_lux,hours_until_dry
34,100,9367,22.08
22,52,4959,34.07
24,99,3357,62.09
17,85,2460,98.73
21,59,9772,46.63
28,81,191,54.82
19,82,16650,47.53
24,67,18950,32.16
21,51,19901,31.4
31,64,12399,15.72
33,59,12178,12.89
21,73,1019,70.74
33,78,8775,22.5
34,42,14607,6.88
35,79,12024,12.8
30,69,13722,18.84
32,65,8628,19.76
34,96,16411,17.28
26,67,16564,25.89
31,89,1367,43.65
34,48,10800,8.55
17,59,11137,39.08
16,67,16652,50.65
21,77,14710,47.84
20,88,15460,56.5
35,99,12083,13.96
32,69,15005,16.89
26,88,1475,59.14
23,51,8252,32.25
23,72,17524,33.78
35,57,10614,8.46
24,100,12876,46.08
28,59,1165,36.11
33,60,14736,11.97
16,94,17398,64.3
25,58,9043,34.1
17,73,1485,83.95
24,82,15946,42.9
30,76,16955,22.8
16,58,4967,57.35
34,81,17860,14.87
35,75,16698,11.7
30,49,9610,19.4
35,64,19496,10.08
24,63,16980,29.03
17,67,18915,49.0
23,42,12095,22.92
29,65,9003,31.17
27,43,10778,15.76
21,74,14754,45.13
29,88,17714,30.2
17,42,8284,41.34
29,41,6087,16.78
19,82,6575,68.19
21,51,4201,41.47
26,96,1908,71.9
28,86,7039,43.34
16,81,15454,58.9
24,73,5382,49.99
18,89,18481,57.57
18,66,6184,63.89
28,90,17372,33.37
24,100,11954,49.44
25,59,15885,25.75
16,57,1406,70.45
35,82,16632,13.41
21,74,10382,39.65
15,61,19001,46.66
21,64,9391,45.72
33,73,3438,21.46
20,88,17520,53.86
34,57,11471,9.44
17,86,14293,62.31
25,74,14030,29.97
27,90,9300,44.93
34,72,15315,11.66
17,87,19998,58.23
33,96,13947,19.76
27,91,3817,48.74
21,73,13195,44.11
23,79,16047,42.3
34,60,11636,11.34
29,52,342,34.32
29,80,7442,33.09
21,62,14122,34.28
33,92,13629,19.71
15,62,14530,42.32
15,57,7390,62.13
20,42,1157,41.58
28,55,13666,21.19
17,88,10349,57.68
15,83,6927,87.15
18,96,2833,81.1
20,53,14975,28.62
19,72,15460,45.81
31,41,8193,14.17
31,70,6033,23.69
23,92,3996,60.06
33,90,168,41.58
17,77,2249,91.21
34,80,19734,15.41
25,81,3317,49.09
20,49,10213,29.11
20,75,15848,45.45
15,42,3529,40.32
33,79,2557,21.46
34,98,1070,27.05
24,66,9509,43.51
26,64,15694,29.03
33,44,1150,16.63
23,89,5516,56.89
27,81,1832,48.44
18,98,19850,69.21
21,76,3193,58.34
19,43,1526,45.15
22,54,13065,31.78
18,89,13170,60.5
29,60,4778,28.25
19,59,7002,49.56
19,47,17035,30.2
20,66,6058,53.33
24,69,12223,31.13
18,61,18399,39.86
20,82,1799,84.46
19,41,1358,45.2
23,73,1977,64.53
18,66,1929,76.23
18,84,6436,79.83
23,59,5930,40.52
23,87,5422,55.61
30,83,11597,25.65
15,60,5917,55.2
28,89,6020,43.15
26,49,6837,28.26
23,78,7314,53.57
16,88,17756,62.09
21,99,8977,72.23
21,43,7908,31.7
25,62,11305,25.39
15,82,14804,64.58
15,66,15678,49.99
26,60,12899,23.69
20,58,12113,33.41
23,88,6217,64.63
16,86,428,133.75
17,68,18556,45.51
34,46,17522,7.45
28,53,15459,19.08
23,62,9499,37.94
16,60,16686,44.06
21,91,17276,55.5
20,49,2442,45.57
17,48,19702,30.14
31,70,483,40.07
20,49,2488,47.53
26,44,18636,19.03
23,69,12152,37.65
17,80,5844,73.6
23,85,15279,39.02
17,40,14840,25.94
29,82,15651,24.62
26,52,11173,23.81
20,41,18139,26.08
35,62,19941,9.11
31,46,9775,18.05
