temperature,humidity_in_percent,light_in_lux,hours_until_dry
24,64,3294,37.27
24,50,8065,29.44
17,80,17010,60.72
28,69,4655,32.46
20,43,17659,28.12
34,50,14189,8.91
31,97,5178,33.87
20,98,18743,62.33
15,67,16987,49.75
24,91,6360,53.58
19,57,4690,52.19
26,92,4829,50.49
19,93,12882,53.9
16,68,10041,45.04
19,89,17666,52.71
26,91,3803,55.04
23,60,10713,32.13
26,70,6200,42.73
33,88,7073,22.92
17,84,16726,55.64
18,86,1872,87.98
27,93,12630,34.46
15,73,1886,88.51
35,48,11689,7.34
23,63,3307,44.98
17,69,6396,59.04
24,96,3307,65.74
22,64,17361,35.6
28,94,4673,44.67
33,100,12018,23.1
29,85,8469,39.64
27,62,16388,24.18
23,57,9382,38.37
34,59,15496,11.26
18,72,7151,57.02
29,86,18396,28.1
20,96,9027,71.42
24,87,4190,50.11
31,77,8381,29.38
19,98,2149,100.84
30,48,15497,13.1
32,63,15903,16.48
28,97,3932,47.96
25,67,8188,44.22
27,99,560,58.56
18,83,19157,50.4
24,97,5375,58.98
23,53,11332,25.41
28,100,2943,49.92
16,64,19226,43.78
29,84,19756,27.17
33,81,17640,16.33
32,91,13090,22.28
25,48,4344,27.94
27,55,14397,23.6
30,52,9302,18.72
17,79,6579,71.95
18,74,11385,44.93
25,99,2568,58.21
29,69,15597,23.23
22,90,15172,52.49
31,74,3902,25.31
28,77,11301,29.66
35,90,7695,18.18
33,67,18045,14.35
34,80,18094,13.39
30,73,449,44.24
31,48,18023,12.57
35,80,3517,17.28
32,58,7538,16.89
28,62,7316,27.08
26,52,5092,31.16
17,77,8625,68.01
18,66,13918,39.64
35,69,5787,12.83
16,43,6174,40.45
18,81,13496,56.67
20,88,13216,55.97
27,68,11040,28.91
26,88,397,66.53
28,42,3990,21.57
24,71,17216,33.74
22,78,2092,72.31
33,82,67,33.41
20,72,4251,59.9
30,89,11411,26.17
32,75,8030,24.96
25,80,4661,48.48
28,63,15992,23.13
34,94,10942,18.61
22,99,18517,58.27
17,93,3685,89.84
21,88,10732,46.15
33,90,19702,19.47
31,89,15058,21.87
17,95,11458,63.58
25,73,19522,31.21
22,79,7395,51.76
25,84,16089,37.04
20,83,15189,51.29
17,44,13437,27.93
32,99,6675,31.05
24,52,2697,35.61
25,94,19695,39.76
21,89,19243,55.3
29,86,13374,30.93
24,66,11880,34.53
16,82,5752,81.87
29,99,13953,33.98
33,56,17675,10.7
32,60,14683,12.96
32,71,6566,23.17
25,100,17848,46.8
15,71,5954,74.55
21,77,10759,43.45
18,43,18680,25.83
35,44,15595,7.19
26,62,10280,28.64
32,69,14175,15.57
25,52,8005,29.64
26,56,532,39.2
24,44,6045,28.44
24,44,17554,20.28
23,54,10147,26.99
26,95,10650,36.31
20,47,8179,38.35
26,64,2803,34.05
25,60,1069,45.0
16,62,9780,56.54
20,72,12599,45.36
23,70,9334,49.98
33,63,16127,13.49
16,84,3801,84.67
20,74,11768,40.85
26,53,10039,23.82
17,58,13609,37.62
17,95,19127,60.96
25,71,12446,30.35
25,89,10332,38.85
18,77,3517,62.34
31,99,19669,26.46
34,70,8580,17.3
34,49,16475,9.61
28,73,16148,26.02
35,57,9930,12.31
26,42,11442,18.87
18,63,1243,72.07
32,97,18515,24.91
20,54,13639,34.34
33,73,3087,19.21
21,53,19356,29.61
23,68,5451,47.63
21,96,17815,58.0
24,74,15975,36.94
26,47,18736,18.95
26,99,6387,55.99
35,58,19730,8.26
17,83,5009,81.71
19,48,13643,32.66
27,62,10623,24.18
18,42,13458,25.23
27,48,3030,25.21
15,68,18537,46.41
26,67,12293,25.89
31,98,12992,24.08
21,95,9058,64.98
32,76,14223,19.33
29,60,9749,27.72
18,89,1901,103.77
35,62,956,15.81
22,80,19521,40.18
20,47,11172,29.05
24,59,10707,31.15
17,98,7646,82.05
24,71,3213,44.99
23,51,6082,36.76
17,74,19821,54.12
28,49,3700,25.4
23,42,3413,28.85
29,67,18045,20.78
28,93,19813,33.81
30,95,19298,28.21
25,61,19481,25.25
29,62,17160,19.23
22,44,13192,24.71
22,87,4716,67.02
32,46,14259,10.71
20,77,566,72.38
16,59,15988,42.9
35,67,12883,10.75
27,82,10697,33.26
28,58,19930,19.21
31,83,4118,30.48
19,85,7771,74.26
18,47,4712,38.05
22,73,4536,56.76
29,95,6374,43.05
21,74,3546,55.12
33,77,5695,19.62
20,93,2646,78.12
23,45,10395,24.56
18,89,9652,71.27
32,45,538,18.9
24,93,2743,64.88
20,61,13976,37.7
20,43,15984,27.35
34,62,18457,11.38
17,97,12413,61.58
25,40,462,37.8
35,51,612,11.86
21,93,12682,56.72
17,72,8992,70.88
27,45,19720,18.78
29,58,7754,23.99
24,84,14321,36.69
23,66,597,57.22
33,67,11190,12.94
27,86,7978,46.96
19,51,11412,35.02
32,61,10584,14.2
33,42,15808,9.53
17,81,15707,53.1
26,54,1065,37.04
18,61,1767,69.11
21,88,17633,49.16
21,90,18155,55.4
27,87,8834,49.76
18,91,5487,72.87
15,100,8258,106.0
17,41,2388,45.26
32,59,12941,13.45
34,100,11826,18.0
21,61,4075,49.61
19,50,13281,31.18
25,62,836,42.32
31,95,15755,23.34
35,88,14803,14.39
23,61,16061,32.67
32,40,9322,11.9
24,69,9077,45.48
30,74,6277,30.49
22,44,4892,31.68
20,53,5626,41.98
15,100,7316,106.0
19,89,18281,53.27
26,84,8493,44.69
26,67,547,46.9
27,94,11009,34.09
27,48,2474,34.01
34,88,10846,16.32
31,72,13242,17.5
19,86,3693,79.46
15,63,4603,57.96
29,70,19773,23.1
22,92,6894,62.27
16,79,6158,77.36
31,41,15862,11.51
35,85,13003,12.88
25,76,10462,34.2
21,75,18085,45.32
25,67,11884,30.45
25,46,17031,20.91
17,94,3710,90.8
26,75,10350,30.87
35,72,2386,16.56
17,95,17075,61.62
15,46,14194,35.19
17,78,7996,73.91
29,59,12451,19.86
26,62,2138,45.14
33,55,12075,11.67
29,70,14240,22.18
25,40,15922,17.1
18,70,8467,59.75
22,67,16291,38.71
23,80,13671,41.62
32,64,9789,21.5
27,64,17576,26.71
17,69,18058,47.13
28,46,8083,24.07
23,94,7055,58.81
25,63,9731,35.15
34,84,2895,21.37
34,54,7556,12.57
25,43,15024,17.42
19,76,14903,51.71
25,88,10677,36.04
21,73,3677,59.36
25,91,2265,62.11
31,95,5617,34.2
28,83,721,47.81
24,58,16730,25.89
16,40,1495,48.0
32,61,16551,14.2
17,42,16610,26.66
23,48,15098,26.44
20,45,1849,48.6
24,73,1841,59.57
32,60,4239,19.58
32,87,4994,28.12
18,79,18407,50.05
22,43,12242,20.9
35,61,9178,12.57
25,90,16036,43.34
29,88,1742,46.95
17,61,4312,52.75
17,93,15375,59.68
35,53,11497,8.43
27,71,17958,29.35
15,67,12789,54.77
20,97,1664,93.12
28,79,18592,27.59
28,48,9782,24.65
21,76,17765,41.15
19,56,9631,48.92
33,54,3919,14.06
22,91,9807,63.55
21,44,12073,23.07
26,97,10291,39.11
30,78,15721,22.0
23,41,2143,33.11
23,54,4905,35.25
30,71,1340,36.92
31,87,18430,25.84
19,93,4244,71.09
19,62,4655,51.04
35,81,16468,12.15
19,47,1800,48.86
27,61,3171,34.26
35,100,3943,18.6
33,45,10980,8.79
26,94,8888,56.32
23,52,18356,23.87
35,52,2565,10.4
27,75,13211,27.79
31,45,13238,12.27
23,93,10469,46.96
30,72,156,39.74
18,55,16457,36.3
24,80,15770,41.47
32,100,6949,32.0
15,97,16497,72.02
31,57,4003,19.9
17,59,14790,43.56
24,41,3773,27.03
20,69,4128,59.06
18,85,12473,56.66
20,94,15373,58.09
21,89,5727,72.37
15,46,15991,34.16
26,95,431,87.78
32,52,7178,17.14
35,90,14395,14.31
23,69,2734,42.7
28,93,11543,33.81
21,85,2481,87.21
35,95,19354,14.25
16,77,2779,78.36
24,41,12237,19.09
21,86,1561,75.16
30,72,4810,31.68
28,79,9524,35.27
15,41,698,51.25
34,40,10275,6.91
17,64,4198,55.94
27,42,12038,15.72
16,53,12706,37.02
22,40,8447,30.24
19,50,15760,30.55
18,91,13306,62.46
22,47,15333,25.38
33,74,8383,19.27
21,83,10649,50.62
28,76,14818,26.81
20,69,1103,66.93
20,65,11094,40.95
26,48,14045,22.18
23,42,10509,20.13
31,45,17632,12.64
33,46,9431,13.91
29,61,7842,28.99
20,63,13820,35.15
32,65,15949,14.2
28,85,13841,29.38
22,63,12011,35.38
28,79,3264,37.92
24,74,4685,51.62
27,45,14397,19.13
17,46,2468,57.66
20,99,17579,62.96
32,86,1605,33.02
33,47,4152,12.77
15,43,16476,29.99
33,79,6804,23.23
34,81,17394,15.31
15,97,10587,73.48
35,58,14787,8.53
30,66,4990,26.66
25,68,8232,39.17
34,52,2766,11.98
